-	braille	hangul	ile	jyutping	kuping	kuping_alt	meyer_wempe	penkyamp	rao	sidneylau	slwong_phonetic	slwong_roman	yale
ɕɐ˥˧	△	△	↦ sa1 [sɐ˥]	↦ sa1 [sɐ˥]	sja53^1	sja53^1	↦ sha [ɕaː˥]	↦ säh [sɐ˥]	↦ se1 [sɐ˥]	↦ sa1 [saː˥˧]	↦ ˈsɐ [sɐ˥]	↦ ˈsa [sɐ˥]	↦ sà [saː˥˧]
ɕɐ˧	△	△	↦ sa3 [sɐ˧]	↦ sa3 [sɐ˧]	sja33^3	sja33^3	↦ shà [ɕaː˧]	↦ sâh [sɐ˧]	↦ se3 [sɐ˧]	↦ sa3 [saː˧]	↦ ˉsɐ [sɐ˧]	↦ ˉsa [sɐ˧]	↦ sa [saː˧]
ɕɐ˧˥	△	△	↦ sa2 [sɐ˧˥]	↦ sa2 [sɐ˧˥]	sja35^2	sja35^2	↦ shá [ɕaː˧˥]	↦ sãh [sɐ˧˥]	↦ se2 [sɐ˧˥]	↦ sa2 [saː˧˥]	↦ ˊsɐ [sɐ˧˥]	↦ ˊsa [sɐ˧˥]	↦ sá [saː˧˥]
ɕɐ˨	△	△	↦ sa6 [sɐ˨]	↦ sa6 [sɐ˨]	sja22_3	sja22_3	↦ shā [ɕaː˨]	↦ sàh [sɐ˨]	↦ se6 [sɐ˨]	↦ sa6 [saː˨]	↦ ˍsɐ [sɐ˨]	↦ ˍsa [sɐ˨]	↦ sah [saː˨]
ɕɐ˩	△	△	↦ sa4 [sɐ˩]	↦ sa4 [sɐ˩]	sja11_1	sja11_1	↦ shâ [ɕaː˩]	↦ sah [sɐ˩]	↦ se4 [sɐ˩]	↦ sa4 [saː˩]	↦ ˌsɐ [sɐ˩]	↦ ˌsa [sɐ˩]	↦ sàh [saː˩]
ɕɐ˩˧	△	△	↦ sa5 [sɐ˩˧]	↦ sa5 [sɐ˩˧]	sja13_2	sja13_2	↦ shǎ [ɕaː˩˧]	↦ sáh [sɐ˩˧]	↦ se5 [sɐ˩˧]	↦ sa5 [saː˩˧]	↦ ˏsɐ [sɐ˩˧]	↦ ˏsa [sɐ˩˧]	↦ sáh [saː˩˧]
ɕɐi̯˥	↦ ⠎⠩⠀ [sɐi̯˥]	↦ ᄉᆡ [sɐi̯˥]	↦ sai1 [sɐi̯˥]	↦ sai1 [sɐi̯˥]	sjai55^1	sjai55^1	shai	↦ säy [sɐi̯˥]	↦ sei1 [sɐi̯˥]	↦ sai1° [sɐi̯˥]	↦ ˈsɐi [sɐi̯˥]	↦ ˈsai [sɐi̯˥]	↦ sāi [sɐi̯˥]
ɕɐi̯˥˧	↦ ⠎⠩⠀ [sɐi̯˥]	↦ ᄉᆡ [sɐi̯˥]	↦ sai1 [sɐi̯˥]	↦ sai1 [sɐi̯˥]	sjai53^1	sjai53^1	↦ shai [ɕɐi̯˥]	↦ säy [sɐi̯˥]	↦ sei1 [sɐi̯˥]	↦ sai1 [sɐi̯˥˧]	↦ ˈsɐi [sɐi̯˥]	↦ ˈsai [sɐi̯˥]	↦ sài [sɐi̯˥˧]
ɕɐi̯˧	↦ ⠎⠩⠈ [sɐi̯˧]	↦ ᄉᆡ〮 [sɐi̯˧]	↦ sai3 [sɐi̯˧]	↦ sai3 [sɐi̯˧]	sjai33^3	sjai33^3	shaì	↦ sây [sɐi̯˧]	↦ sei3 [sɐi̯˧]	↦ sai3 [sɐi̯˧]	↦ ˉsɐi [sɐi̯˧]	↦ ˉsai [sɐi̯˧]	↦ sai [sɐi̯˧]
ɕɐi̯˧˥	↦ ⠎⠩⠁ [sɐi̯˧˥]	↦ ᄉᆡ〯 [sɐi̯˧˥]	↦ sai2 [sɐi̯˧˥]	↦ sai2 [sɐi̯˧˥]	sjai35^2	sjai35^2	shaí	↦ sãy [sɐi̯˧˥]	↦ sei2 [sɐi̯˧˥]	↦ sai2 [sɐi̯˧˥]	↦ ˊsɐi [sɐi̯˧˥]	↦ ˊsai [sɐi̯˧˥]	↦ sái [sɐi̯˧˥]
ɕɐi̯˨	↦ ⠎⠩⠂ [sɐi̯˨]	↦ ᄉᆡ̣ [sɐi̯˨]	↦ sai6 [sɐi̯˨]	↦ sai6 [sɐi̯˨]	sjai22_3	sjai22_3	shaī	↦ sày [sɐi̯˨]	↦ sei6 [sɐi̯˨]	↦ sai6 [sɐi̯˨]	↦ ˍsɐi [sɐi̯˨]	↦ ˍsai [sɐi̯˨]	↦ saih [sɐi̯˨]
ɕɐi̯˩	↦ ⠎⠩⠄ [sɐi̯˩]	↦ ᄉᆡ̲ [sɐi̯˩]	↦ sai4 [sɐi̯˩]	↦ sai4 [sɐi̯˩]	sjai11_1	sjai11_1	shaî	↦ say [sɐi̯˩]	↦ sei4 [sɐi̯˩]	↦ sai4 [sɐi̯˩]	↦ ˌsɐi [sɐi̯˩]	↦ ˌsai [sɐi̯˩]	↦ sàih [sɐi̯˩]
ɕɐi̯˩˧	↦ ⠎⠩⠠ [sɐi̯˩˧]	↦ ᄉᆡ̤ [sɐi̯˩˧]	↦ sai5 [sɐi̯˩˧]	↦ sai5 [sɐi̯˩˧]	sjai13_2	sjai13_2	shaǐ	↦ sáy [sɐi̯˩˧]	↦ sei5 [sɐi̯˩˧]	↦ sai5 [sɐi̯˩˧]	↦ ˏsɐi [sɐi̯˩˧]	↦ ˏsai [sɐi̯˩˧]	↦ sáih [sɐi̯˩˧]
ɕɐk̚˥	↦ ⠎⠨⠀ [sɐk̚˥]	↦ ᄉᆞᆨ [sɐk̚˥]	↦ sak7 [sɐk̚˥]	↦ sak1 [sɐk̚˥]	sjak55^4	sjak55^4	shak	↦ säk [sɐk̚˥]	↦ seg1 [sɐk̚˥]	↦ sak1° [sɐk̚˥]	↦ ˈsɐk [sɐk̚˥]	↦ ˈsak [sɐk̚˥]	↦ sāk [sɐk̚˥]
