-	braille	hangul	ile	jyutping	kuping	kuping_alt	meyer_wempe	penkyamp	rao	sidneylau	slwong_phonetic	slwong_roman	yale
paːm˨	⠏⠜⠂	밤̣	baam6	baam6	paam22_3	paam22_3	paām	bàm	bam6	baam6	ˍbam	ˍbaam	baahm
paːm˩	⠏⠜⠄	밤̲	baam4	baam4	paam11_1	paam11_1	paâm	bam	bam4	baam4	ˌbam	ˌbaam	bàahm
paːm˩˧	⠏⠜⠠	밤̤	baam5	baam5	paam13_2	paam13_2	paǎm	bám	bam5	baam5	ˏbam	ˏbaam	báahm
paːn˥	⠏⠘⠀	반	baan1	baan1	paan55^1	paan55^1	paan	bän	ban1	baan1°	ˈban	ˈbaan	bāan
paːn˥˧	↦ ⠏⠘⠀ [paːn˥]	↦ 반 [paːn˥]	↦ baan1 [paːn˥]	↦ baan1 [paːn˥]	paan53^1	paan53^1	↦ paan [paːn˥]	↦ bän [paːn˥]	↦ ban1 [paːn˥]	baan1	↦ ˈban [paːn˥]	↦ ˈbaan [paːn˥]	bàan
paːn˧	⠏⠘⠈	반〮	baan3	baan3	paan33^3	paan33^3	paàn	bân	ban3	baan3	ˉban	ˉbaan	baan
paːn˧˥	⠏⠘⠁	반〯	baan2	baan2	paan35^2	paan35^2	paán	bãn	ban2	baan2	ˊban	ˊbaan	báan
paːn˨	⠏⠘⠂	반̣	baan6	baan6	paan22_3	paan22_3	paān	bàn	ban6	baan6	ˍban	ˍbaan	baahn
paːn˩	⠏⠘⠄	반̲	baan4	baan4	paan11_1	paan11_1	paân	ban	ban4	baan4	ˌban	ˌbaan	bàahn
paːn˩˧	⠏⠘⠠	반̤	baan5	baan5	paan13_2	paan13_2	paǎn	bán	ban5	baan5	ˏban	ˏbaan	báahn
paːp̚˥	⠏⠏⠀	밥	baap7	baap1	paap55^4	paap55^4	paap	bäb	bab1	baap1°	ˈbap	ˈbaap	bāap
paːp̚˥˧	↦ ⠏⠏⠀ [paːp̚˥]	↦ 밥 [paːp̚˥]	↦ baap7 [paːp̚˥]	↦ baap1 [paːp̚˥]	⊖	⊖	↦ paap [paːp̚˥]	↦ bäb [paːp̚˥]	↦ bab1 [paːp̚˥]	baap1	↦ ˈbap [paːp̚˥]	↦ ˈbaap [paːp̚˥]	bàap
paːp̚˧	⠏⠏⠈	밥〮	baap8	baap3	paap33-4	paap33-4	paàp	bâb	bab3	baap3	ˉbap	ˉbaap	baap
paːp̚˧˥	⠏⠏⠁	밥〯	baap2	baap2	⊖	⊖	paáp	bãb	bab2	baap2	ˊbap	ˊbaap	báap
paːp̚˨	⠏⠏⠂	밥̣	baap9	baap6	paap22_4	paap22_4	paāp	bàb	bab6	baap6	ˍbap	ˍbaap	baahp
paːp̚˩	⠏⠏⠄	밥̲	baap4	baap4	⊖	⊖	paâp	bab	bab4	baap4	ˌbap	ˌbaap	bàahp
paːp̚˩˧	⠏⠏⠠	밥̤	baap5	baap5	⊖	⊖	paǎp	báb	bab5	baap5	ˏbap	ˏbaap	báahp
paːt̚˥	⠏⠞⠀	받	baat7	baat1	paat55^4	paat55^4	paat	bäd	bad1	baat1°	ˈbat	ˈbaat	bāat
paːt̚˥˧	↦ ⠏⠞⠀ [paːt̚˥]	↦ 받 [paːt̚˥]	↦ baat7 [paːt̚˥]	↦ baat1 [paːt̚˥]	⊖	⊖	↦ paat [paːt̚˥]	↦ bäd [paːt̚˥]	↦ bad1 [paːt̚˥]	baat1	↦ ˈbat [paːt̚˥]	↦ ˈbaat [paːt̚˥]	bàat
paːt̚˧	⠏⠞⠈	받〮	baat8	baat3	paat33-4	paat33-4	paàt	bâd	bad3	baat3	ˉbat	ˉbaat	baat
paːt̚˧˥	⠏⠞⠁	받〯	baat2	baat2	⊖	⊖	paát	bãd	bad2	baat2	ˊbat	ˊbaat	báat
paːt̚˨	⠏⠞⠂	받̣	baat9	baat6	paat22_4	paat22_4	paāt	bàd	bad6	baat6	ˍbat	ˍbaat	baaht
paːt̚˩	⠏⠞⠄	받̲	baat4	baat4	⊖	⊖	paât	bad	bad4	baat4	ˌbat	ˌbaat	bàaht
paːt̚˩˧	⠏⠞⠠	받̤	baat5	baat5	⊖	⊖	paǎt	bád	bad5	baat5	ˏbat	ˏbaat	báaht
paːu̯˥	⠏⠌⠀	ᄇᅷ	baau1	baau1	paau55^1	paau55^1	paau	bäu	bao1	baau1°	ˈbau	ˈbaau	bāau
paːu̯˥˧	↦ ⠏⠌⠀ [paːu̯˥]	↦ ᄇᅷ [paːu̯˥]	↦ baau1 [paːu̯˥]	↦ baau1 [paːu̯˥]	paau53^1	paau53^1	↦ paau [paːu̯˥]	↦ bäu [paːu̯˥]	↦ bao1 [paːu̯˥]	baau1	↦ ˈbau [paːu̯˥]	↦ ˈbaau [paːu̯˥]	bàau
paːu̯˧	⠏⠌⠈	ᄇᅷ〮	baau3	baau3	paau33^3	paau33^3	paaù	bâu	bao3	baau3	ˉbau	ˉbaau	baau
paːu̯˧˥	⠏⠌⠁	ᄇᅷ〯	baau2	baau2	paau35^2	paau35^2	paaú	bãu	bao2	baau2	ˊbau	ˊbaau	báau
paːu̯˨	⠏⠌⠂	ᄇᅷ̣	baau6	baau6	paau22_3	paau22_3	paaū	bàu	bao6	baau6	ˍbau	ˍbaau	baauh
paːu̯˩	⠏⠌⠄	ᄇᅷ̲	baau4	baau4	paau11_1	paau11_1	paaû	bau	bao4	baau4	ˌbau	ˌbaau	bàauh
paːu̯˩˧	⠏⠌⠠	ᄇᅷ̤	baau5	baau5	paau13_2	paau13_2	paaǔ	báu	bao5	baau5	ˏbau	ˏbaau	báauh
paːy̯˥	△	△	△	△	paay55^1	paay55^1	△	△	△	△	ˈbay	△	△
paːy̯˥˧	△	△	△	△	paay53^1	paay53^1	△	△	△	△	↦ ˈbay [paːy̯˥]	△	△
paːy̯˧	△	△	△	△	paay33^3	paay33^3	△	△	△	△	ˉbay	△	△
paːy̯˧˥	△	△	△	△	paay35^2	paay35^2	△	△	△	△	ˊbay	△	△
paːy̯˨	△	△	△	△	paay22_3	paay22_3	△	△	△	△	ˍbay	△	△
paːy̯˩	△	△	△	△	paay11_1	paay11_1	△	△	△	△	ˌbay	△	△
paːy̯˩˧	△	△	△	△	paay13_2	paay13_2	△	△	△	△	ˏbay	△	△
paːŋ˥	⠏⠉⠀	바ᇰ	baang1	baang1	paaŋ55^1	paang55^1	paang	bäng	bang1	baang1°	ˈbaŋ	ˈbaang	bāang
paːŋ˥˧	↦ ⠏⠉⠀ [paːŋ˥]	↦ 바ᇰ [paːŋ˥]	↦ baang1 [paːŋ˥]	↦ baang1 [paːŋ˥]	paaŋ53^1	paang53^1	↦ paang [paːŋ˥]	↦ bäng [paːŋ˥]	↦ bang1 [paːŋ˥]	baang1	↦ ˈbaŋ [paːŋ˥]	↦ ˈbaang [paːŋ˥]	bàang
paːŋ˧	⠏⠉⠈	바ᇰ〮	baang3	baang3	paaŋ33^3	paang33^3	paàng	bâng	bang3	baang3	ˉbaŋ	ˉbaang	baang
paːŋ˧˥	⠏⠉⠁	바ᇰ〯	baang2	baang2	paaŋ35^2	paang35^2	paáng	bãng	bang2	baang2	ˊbaŋ	ˊbaang	báang
paːŋ˨	⠏⠉⠂	바ᇰ̣	baang6	baang6	paaŋ22_3	paang22_3	paāng	bàng	bang6	baang6	ˍbaŋ	ˍbaang	baahng
paːŋ˩	⠏⠉⠄	바ᇰ̲	baang4	baang4	paaŋ11_1	paang11_1	paâng	bang	bang4	baang4	ˌbaŋ	ˌbaang	bàahng
paːŋ˩˧	⠏⠉⠠	바ᇰ̤	baang5	baang5	paaŋ13_2	paang13_2	paǎng	báng	bang5	baang5	ˏbaŋ	ˏbaang	báahng
pe˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pe˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pe˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pe˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pe˨	△	△	△	△	△	△	△	△	△	△	△	△	△
pe˩	△	△	△	△	△	△	△	△	△	△	△	△	△
pe˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pei̯˥	⠏⠓⠀	베	bei1	bei1	pei55^1	pei55^1	pei	bëy	béi1	bei1°	ˈbei	ˈbei	bēi
pei̯˥˧	↦ ⠏⠓⠀ [pei̯˥]	↦ 베 [pei̯˥]	↦ bei1 [pei̯˥]	↦ bei1 [pei̯˥]	pei53^1	pei53^1	↦ pei [pei̯˥]	↦ bëy [pei̯˥]	↦ béi1 [pei̯˥]	bei1	↦ ˈbei [pei̯˥]	↦ ˈbei [pei̯˥]	bèi
pei̯˧	⠏⠓⠈	베〮	bei3	bei3	pei33^3	pei33^3	peì	bêy	béi3	bei3	ˉbei	ˉbei	bei
pei̯˧˥	⠏⠓⠁	베〯	bei2	bei2	pei35^2	pei35^2	peí	bẽy	béi2	bei2	ˊbei	ˊbei	béi
pei̯˨	⠏⠓⠂	베̣	bei6	bei6	pei22_3	pei22_3	peī	bèy	béi6	bei6	ˍbei	ˍbei	beih
pei̯˩	⠏⠓⠄	베̲	bei4	bei4	pei11_1	pei11_1	peî	bey	béi4	bei4	ˌbei	ˌbei	bèih
pei̯˩˧	⠏⠓⠠	베̤	bei5	bei5	pei13_2	pei13_2	peǐ	béy	béi5	bei5	ˏbei	ˏbei	béih
pek̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pek̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pek̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pek̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pek̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
pek̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
pek̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pem˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pem˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pem˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pem˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pem˨	△	△	△	△	△	△	△	△	△	△	△	△	△
pem˩	△	△	△	△	△	△	△	△	△	△	△	△	△
pem˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pen˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pen˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pen˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pen˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pen˨	△	△	△	△	△	△	△	△	△	△	△	△	△
pen˩	△	△	△	△	△	△	△	△	△	△	△	△	△
pen˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pep̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pep̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pep̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pep̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pep̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
pep̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
pep̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pet̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pet̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pet̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pet̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pet̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
pet̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
pet̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
peu̯˥	△	△	△	△	△	△	△	△	△	△	△	△	△
peu̯˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
peu̯˧	△	△	△	△	△	△	△	△	△	△	△	△	△
peu̯˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
peu̯˨	△	△	△	△	△	△	△	△	△	△	△	△	△
peu̯˩	△	△	△	△	△	△	△	△	△	△	△	△	△
peu̯˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pey̯˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pey̯˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pey̯˧	△	△	△	△	△	△	△	△	△	△	△	△	△
pey̯˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
pey̯˨	△	△	△	△	△	△	△	△	△	△	△	△	△
pey̯˩	△	△	△	△	△	△	△	△	△	△	△	△	△
pey̯˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
peŋ˥	△	△	△	△	△	△	△	△	△	△	△	△	△
peŋ˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
peŋ˧	△	△	△	△	△	△	△	△	△	△	△	△	△
peŋ˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
peŋ˨	△	△	△	△	△	△	△	△	△	△	△	△	△
peŋ˩	△	△	△	△	△	△	△	△	△	△	△	△	△
peŋ˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
piː˥	⠏⠊⠀	비	bi1	bi1	pi55^1	pi55^1	pi	bï	bi1	bi1°	ˈbi	ˈbi	bī
piː˥˧	↦ ⠏⠊⠀ [piː˥]	↦ 비 [piː˥]	↦ bi1 [piː˥]	↦ bi1 [piː˥]	pi53^1	pi53^1	↦ pi [piː˥]	↦ bï [piː˥]	↦ bi1 [piː˥]	bi1	↦ ˈbi [piː˥]	↦ ˈbi [piː˥]	bì
piː˧	⠏⠊⠈	비〮	bi3	bi3	pi33^3	pi33^3	pì	bî	bi3	bi3	ˉbi	ˉbi	bi
piː˧˥	⠏⠊⠁	비〯	bi2	bi2	pi35^2	pi35^2	pí	bĩ	bi2	bi2	ˊbi	ˊbi	bí
piː˨	⠏⠊⠂	비̣	bi6	bi6	pi22_3	pi22_3	pī	bì	bi6	bi6	ˍbi	ˍbi	bih
piː˩	⠏⠊⠄	비̲	bi4	bi4	pi11_1	pi11_1	pî	bi	bi4	bi4	ˌbi	ˌbi	bìh
piː˩˧	⠏⠊⠠	비̤	bi5	bi5	pi13_2	pi13_2	pǐ	bí	bi5	bi5	ˏbi	ˏbi	bíh
piːk̚˥	△	△	↦ bik7 [pɪk̚˥]	↦ bik1 [pɪk̚˥]	↦ pik55^4 [pɪk̚˥]	↦ pik55^4 [pɪk̚˥]	↦ pik [pɪk̚˥]	bïg	↦ big1 [pɪk̚˥]	↦ bik1° [pɪk̚˥]	↦ ˈbik [pɪk̚˥]	↦ ˈbik [pɪk̚˥]	↦ bīk [pɪk̚˥]
piːk̚˥˧	△	△	↦ bik7 [pɪk̚˥]	↦ bik1 [pɪk̚˥]	⊖	⊖	↦ pik [pɪk̚˥]	↦ bïg [piːk̚˥]	↦ big1 [pɪk̚˥]	↦ bik1 [pɪk̚˥˧]	↦ ˈbik [pɪk̚˥]	↦ ˈbik [pɪk̚˥]	↦ bìk [pɪk̚˥˧]
piːk̚˧	△	△	↦ bik8 [pɪk̚˧]	↦ bik3 [pɪk̚˧]	↦ pik33-4 [pɪk̚˧]	↦ pik33-4 [pɪk̚˧]	↦ pìk [pɪk̚˧]	bîg	↦ big3 [pɪk̚˧]	↦ bik3 [pɪk̚˧]	↦ ˉbik [pɪk̚˧]	↦ ˉbik [pɪk̚˧]	↦ bik [pɪk̚˧]
piːk̚˧˥	△	△	↦ bik2 [pɪk̚˧˥]	↦ bik2 [pɪk̚˧˥]	⊖	⊖	↦ pík [pɪk̚˧˥]	bĩg	↦ big2 [pɪk̚˧˥]	↦ bik2 [pɪk̚˧˥]	↦ ˊbik [pɪk̚˧˥]	↦ ˊbik [pɪk̚˧˥]	↦ bík [pɪk̚˧˥]
piːk̚˨	△	△	↦ bik9 [pɪk̚˨]	↦ bik6 [pɪk̚˨]	↦ pik22_4 [pɪk̚˨]	↦ pik22_4 [pɪk̚˨]	↦ pīk [pɪk̚˨]	bìg	↦ big6 [pɪk̚˨]	↦ bik6 [pɪk̚˨]	↦ ˍbik [pɪk̚˨]	↦ ˍbik [pɪk̚˨]	↦ bihk [pɪk̚˨]
piːk̚˩	△	△	↦ bik4 [pɪk̚˩]	↦ bik4 [pɪk̚˩]	⊖	⊖	↦ pîk [pɪk̚˩]	big	↦ big4 [pɪk̚˩]	↦ bik4 [pɪk̚˩]	↦ ˌbik [pɪk̚˩]	↦ ˌbik [pɪk̚˩]	↦ bìhk [pɪk̚˩]
piːk̚˩˧	△	△	↦ bik5 [pɪk̚˩˧]	↦ bik5 [pɪk̚˩˧]	⊖	⊖	↦ pǐk [pɪk̚˩˧]	bíg	↦ big5 [pɪk̚˩˧]	↦ bik5 [pɪk̚˩˧]	↦ ˏbik [pɪk̚˩˧]	↦ ˏbik [pɪk̚˩˧]	↦ bíhk [pɪk̚˩˧]
piːm˥	⠏⠖⠀	빔	bim1	bim1	pim55^1	pim55^1	pim	bïm	bim1	bim1°	ˈbim	ˈbim	bīm
piːm˥˧	↦ ⠏⠖⠀ [piːm˥]	↦ 빔 [piːm˥]	↦ bim1 [piːm˥]	↦ bim1 [piːm˥]	pim53^1	pim53^1	↦ pim [piːm˥]	↦ bïm [piːm˥]	↦ bim1 [piːm˥]	bim1	↦ ˈbim [piːm˥]	↦ ˈbim [piːm˥]	bìm
piːm˧	⠏⠖⠈	빔〮	bim3	bim3	pim33^3	pim33^3	pìm	bîm	bim3	bim3	ˉbim	ˉbim	bim
piːm˧˥	⠏⠖⠁	빔〯	bim2	bim2	pim35^2	pim35^2	pím	bĩm	bim2	bim2	ˊbim	ˊbim	bím
piːm˨	⠏⠖⠂	빔̣	bim6	bim6	pim22_3	pim22_3	pīm	bìm	bim6	bim6	ˍbim	ˍbim	bihm
piːm˩	⠏⠖⠄	빔̲	bim4	bim4	pim11_1	pim11_1	pîm	bim	bim4	bim4	ˌbim	ˌbim	bìhm
piːm˩˧	⠏⠖⠠	빔̤	bim5	bim5	pim13_2	pim13_2	pǐm	bím	bim5	bim5	ˏbim	ˏbim	bíhm
piːn˥	⠏⠲⠀	빈	bin1	bin1	pin55^1	pin55^1	pin	bïn	bin1	bin1°	ˈbin	ˈbin	bīn
piːn˥˧	↦ ⠏⠲⠀ [piːn˥]	↦ 빈 [piːn˥]	↦ bin1 [piːn˥]	↦ bin1 [piːn˥]	pin53^1	pin53^1	↦ pin [piːn˥]	↦ bïn [piːn˥]	↦ bin1 [piːn˥]	bin1	↦ ˈbin [piːn˥]	↦ ˈbin [piːn˥]	bìn
piːn˧	⠏⠲⠈	빈〮	bin3	bin3	pin33^3	pin33^3	pìn	bîn	bin3	bin3	ˉbin	ˉbin	bin
piːn˧˥	⠏⠲⠁	빈〯	bin2	bin2	pin35^2	pin35^2	pín	bĩn	bin2	bin2	ˊbin	ˊbin	bín
piːn˨	⠏⠲⠂	빈̣	bin6	bin6	pin22_3	pin22_3	pīn	bìn	bin6	bin6	ˍbin	ˍbin	bihn
piːn˩	⠏⠲⠄	빈̲	bin4	bin4	pin11_1	pin11_1	pîn	bin	bin4	bin4	ˌbin	ˌbin	bìhn
piːn˩˧	⠏⠲⠠	빈̤	bin5	bin5	pin13_2	pin13_2	pǐn	bín	bin5	bin5	ˏbin	ˏbin	bíhn
piːp̚˥	⠏⠯⠀	빕	bip7	bip1	pip55^4	pip55^4	pip	bïb	bib1	bip1°	ˈbip	ˈbip	bīp
piːp̚˥˧	↦ ⠏⠯⠀ [piːp̚˥]	↦ 빕 [piːp̚˥]	↦ bip7 [piːp̚˥]	↦ bip1 [piːp̚˥]	⊖	⊖	↦ pip [piːp̚˥]	↦ bïb [piːp̚˥]	↦ bib1 [piːp̚˥]	bip1	↦ ˈbip [piːp̚˥]	↦ ˈbip [piːp̚˥]	bìp
piːp̚˧	⠏⠯⠈	빕〮	bip8	bip3	pip33-4	pip33-4	pìp	bîb	bib3	bip3	ˉbip	ˉbip	bip
piːp̚˧˥	⠏⠯⠁	빕〯	bip2	bip2	⊖	⊖	píp	bĩb	bib2	bip2	ˊbip	ˊbip	bíp
piːp̚˨	⠏⠯⠂	빕̣	bip9	bip6	pip22_4	pip22_4	pīp	bìb	bib6	bip6	ˍbip	ˍbip	bihp
piːp̚˩	⠏⠯⠄	빕̲	bip4	bip4	⊖	⊖	pîp	bib	bib4	bip4	ˌbip	ˌbip	bìhp
piːp̚˩˧	⠏⠯⠠	빕̤	bip5	bip5	⊖	⊖	pǐp	bíb	bib5	bip5	ˏbip	ˏbip	bíhp
piːt̚˥	⠏⠾⠀	빋	bit7	bit1	pit55^4	pit55^4	pit	bïd	bid1	bit1°	ˈbit	ˈbit	bīt
piːt̚˥˧	↦ ⠏⠾⠀ [piːt̚˥]	↦ 빋 [piːt̚˥]	↦ bit7 [piːt̚˥]	↦ bit1 [piːt̚˥]	⊖	⊖	↦ pit [piːt̚˥]	↦ bïd [piːt̚˥]	↦ bid1 [piːt̚˥]	bit1	↦ ˈbit [piːt̚˥]	↦ ˈbit [piːt̚˥]	bìt
piːt̚˧	⠏⠾⠈	빋〮	bit8	bit3	pit33-4	pit33-4	pìt	bîd	bid3	bit3	ˉbit	ˉbit	bit
piːt̚˧˥	⠏⠾⠁	빋〯	bit2	bit2	⊖	⊖	pít	bĩd	bid2	bit2	ˊbit	ˊbit	bít
piːt̚˨	⠏⠾⠂	빋̣	bit9	bit6	pit22_4	pit22_4	pīt	bìd	bid6	bit6	ˍbit	ˍbit	biht
piːt̚˩	⠏⠾⠄	빋̲	bit4	bit4	⊖	⊖	pît	bid	bid4	bit4	ˌbit	ˌbit	bìht
piːt̚˩˧	⠏⠾⠠	빋̤	bit5	bit5	⊖	⊖	pǐt	bíd	bid5	bit5	ˏbit	ˏbit	bíht
piːu̯˥	⠏⠽⠀	뷰	biu1	biu1	piu55^1	piu55^1	piu	bïu	biu1	biu1°	ˈbiu	ˈbiu	bīu
piːu̯˥˧	↦ ⠏⠽⠀ [piːu̯˥]	↦ 뷰 [piːu̯˥]	↦ biu1 [piːu̯˥]	↦ biu1 [piːu̯˥]	piu53^1	piu53^1	↦ piu [piːu̯˥]	↦ bïu [piːu̯˥]	↦ biu1 [piːu̯˥]	biu1	↦ ˈbiu [piːu̯˥]	↦ ˈbiu [piːu̯˥]	bìu
piːu̯˧	⠏⠽⠈	뷰〮	biu3	biu3	piu33^3	piu33^3	più	bîu	biu3	biu3	ˉbiu	ˉbiu	biu
piːu̯˧˥	⠏⠽⠁	뷰〯	biu2	biu2	piu35^2	piu35^2	piú	bĩu	biu2	biu2	ˊbiu	ˊbiu	bíu
piːu̯˨	⠏⠽⠂	뷰̣	biu6	biu6	piu22_3	piu22_3	piū	bìu	biu6	biu6	ˍbiu	ˍbiu	biuh
piːu̯˩	⠏⠽⠄	뷰̲	biu4	biu4	piu11_1	piu11_1	piû	biu	biu4	biu4	ˌbiu	ˌbiu	bìuh
piːu̯˩˧	⠏⠽⠠	뷰̤	biu5	biu5	piu13_2	piu13_2	piǔ	bíu	biu5	biu5	ˏbiu	ˏbiu	bíuh
piːy̯˥	△	△	△	△	piy55^1	piy55^1	△	△	△	△	ˈbiy	△	△
piːy̯˥˧	△	△	△	△	piy53^1	piy53^1	△	△	△	△	↦ ˈbiy [piːy̯˥]	△	△
piːy̯˧	△	△	△	△	piy33^3	piy33^3	△	△	△	△	ˉbiy	△	△
piːy̯˧˥	△	△	△	△	piy35^2	piy35^2	△	△	△	△	ˊbiy	△	△
piːy̯˨	△	△	△	△	piy22_3	piy22_3	△	△	△	△	ˍbiy	△	△
piːy̯˩	△	△	△	△	piy11_1	piy11_1	△	△	△	△	ˌbiy	△	△
piːy̯˩˧	△	△	△	△	piy13_2	piy13_2	△	△	△	△	ˏbiy	△	△
piːŋ˥	△	△	↦ bing1 [pɪŋ˥]	↦ bing1 [pɪŋ˥]	↦ piŋ55^1 [pɪŋ˥]	↦ ping55^1 [pɪŋ˥]	↦ ping [pɪŋ˥]	bïng	↦ bing1 [pɪŋ˥]	↦ bing1° [pɪŋ˥]	↦ ˈbiŋ [pɪŋ˥]	↦ ˈbing [pɪŋ˥]	↦ bīng [pɪŋ˥]
piːŋ˥˧	△	△	↦ bing1 [pɪŋ˥]	↦ bing1 [pɪŋ˥]	↦ piŋ53^1 [pɪŋ˥˧]	↦ ping53^1 [pɪŋ˥˧]	↦ ping [pɪŋ˥]	↦ bïng [piːŋ˥]	↦ bing1 [pɪŋ˥]	↦ bing1 [pɪŋ˥˧]	↦ ˈbiŋ [pɪŋ˥]	↦ ˈbing [pɪŋ˥]	↦ bìng [pɪŋ˥˧]
piːŋ˧	△	△	↦ bing3 [pɪŋ˧]	↦ bing3 [pɪŋ˧]	↦ piŋ33^3 [pɪŋ˧]	↦ ping33^3 [pɪŋ˧]	↦ pìng [pɪŋ˧]	bîng	↦ bing3 [pɪŋ˧]	↦ bing3 [pɪŋ˧]	↦ ˉbiŋ [pɪŋ˧]	↦ ˉbing [pɪŋ˧]	↦ bing [pɪŋ˧]
piːŋ˧˥	△	△	↦ bing2 [pɪŋ˧˥]	↦ bing2 [pɪŋ˧˥]	↦ piŋ35^2 [pɪŋ˧˥]	↦ ping35^2 [pɪŋ˧˥]	↦ píng [pɪŋ˧˥]	bĩng	↦ bing2 [pɪŋ˧˥]	↦ bing2 [pɪŋ˧˥]	↦ ˊbiŋ [pɪŋ˧˥]	↦ ˊbing [pɪŋ˧˥]	↦ bíng [pɪŋ˧˥]
piːŋ˨	△	△	↦ bing6 [pɪŋ˨]	↦ bing6 [pɪŋ˨]	↦ piŋ22_3 [pɪŋ˨]	↦ ping22_3 [pɪŋ˨]	↦ pīng [pɪŋ˨]	bìng	↦ bing6 [pɪŋ˨]	↦ bing6 [pɪŋ˨]	↦ ˍbiŋ [pɪŋ˨]	↦ ˍbing [pɪŋ˨]	↦ bihng [pɪŋ˨]
piːŋ˩	△	△	↦ bing4 [pɪŋ˩]	↦ bing4 [pɪŋ˩]	↦ piŋ11_1 [pɪŋ˩]	↦ ping11_1 [pɪŋ˩]	↦ pîng [pɪŋ˩]	bing	↦ bing4 [pɪŋ˩]	↦ bing4 [pɪŋ˩]	↦ ˌbiŋ [pɪŋ˩]	↦ ˌbing [pɪŋ˩]	↦ bìhng [pɪŋ˩]
piːŋ˩˧	△	△	↦ bing5 [pɪŋ˩˧]	↦ bing5 [pɪŋ˩˧]	↦ piŋ13_2 [pɪŋ˩˧]	↦ ping13_2 [pɪŋ˩˧]	↦ pǐng [pɪŋ˩˧]	bíng	↦ bing5 [pɪŋ˩˧]	↦ bing5 [pɪŋ˩˧]	↦ ˏbiŋ [pɪŋ˩˧]	↦ ˏbing [pɪŋ˩˧]	↦ bíhng [pɪŋ˩˧]
pm̩˥	△	ᄇᅠᆷ	bm1	bm1	pm55^1	pm55^1	pm	bm̈	bm1	bm1°	ˈbm	ˈbm	bm̄
pm̩˥˧	△	↦ ᄇᅠᆷ [pm̩˥]	↦ bm1 [pm̩˥]	↦ bm1 [pm̩˥]	pm53^1	pm53^1	↦ pm [pm̩˥]	↦ bm̈ [pm̩˥]	↦ bm1 [pm̩˥]	bm1	↦ ˈbm [pm̩˥]	↦ ˈbm [pm̩˥]	bm̀
pm̩˧	△	ᄇᅠᆷ〮	bm3	bm3	pm33^3	pm33^3	pm̀	bm̂	bm3	bm3	ˉbm	ˉbm	bm
pm̩˧˥	△	ᄇᅠᆷ〯	bm2	bm2	pm35^2	pm35^2	pḿ	bm̃	bm2	bm2	ˊbm	ˊbm	bḿ
pm̩˨	△	ᄇᅠᆷ̣	bm6	bm6	pm22_3	pm22_3	pm̄	bm̀	bm6	bm6	ˍbm	ˍbm	bmh
pm̩˩	△	ᄇᅠᆷ̲	bm4	bm4	pm11_1	pm11_1	pm̂	bm	bm4	bm4	ˌbm	ˌbm	bm̀h
